"","SERIALNO","PUMA","PWGTP","AGEP","SEX","WAGP"
607,2011000414315,2100,6,45,2,0
608,2011000414315,2100,14,18,1,0
609,2011000414315,2100,6,16,1,0
610,2011000416545,2100,15,22,2,2900
611,2011000417413,2100,1,58,2,4000
612,2011000418440,2100,11,66,2,17500
613,2011000418440,2100,15,44,1,40000
614,2011000419329,2100,19,25,2,0
615,2011000419843,2100,8,18,1,2800
616,2011000423268,2100,18,69,2,7300
617,2011000424268,2100,32,35,1,83000
618,2011000425658,2100,3,57,1,124000
619,2011000425658,2100,3,56,2,51000
620,2011000425658,2100,4,23,2,0
621,2011000427382,2100,6,24,1,0
622,2011000427477,2100,15,40,1,40000
623,2011000427477,2100,22,37,2,3000
624,2011000427477,2100,18,7,2,0
625,2011000427477,2100,17,6,1,0
626,2011000431883,2100,45,25,1,18000
627,2011000431883,2100,48,22,2,21000
628,2011000431883,2100,53,3,1,0
629,2011000431883,2100,74,2,2,0
630,2011000432856,2100,5,45,1,0
631,2011000432856,2100,4,51,2,18000
632,2011000432856,2100,4,14,2,0
633,2011000434699,2100,6,42,2,31500
634,2011000434699,2100,5,52,1,36700
635,2011000434699,2100,5,15,2,0
636,2011000434699,2100,5,13,1,0
637,2011000434794,2100,6,64,1,135000
638,2011000434794,2100,6,59,2,0
639,2011000437374,2100,22,51,1,60000
640,2011000437374,2100,29,24,2,10000
641,2011000437374,2100,33,4,2,0
642,2011000437518,2100,16,34,2,47000
643,2011000437518,2100,18,33,1,49000
644,2011000437518,2100,18,9,1,0
645,2011000437518,2100,18,7,1,0
646,2011000437557,2100,17,19,1,2500
647,2011000443335,2100,6,39,1,32000
648,2011000443335,2100,4,29,2,20000
649,2011000443335,2100,5,8,2,0
650,2011000443335,2100,8,4,2,0
651,2011000443740,2100,26,25,1,30000
652,2011000443740,2100,36,26,1,0
653,2011000445964,2100,22,49,2,0
654,2011000447304,2100,13,35,2,24000
655,2011000447304,2100,14,14,2,0
656,2011000447304,2100,14,7,1,0
657,2011000449938,2100,27,30,1,1000
658,2011000450006,2100,13,20,1,3000
659,2011000453138,2100,2,33,1,25000
660,2011000453711,2100,2,49,1,40000
661,2011000453711,2100,2,49,2,35000
662,2011000455891,2100,14,18,1,9600
663,2011000456131,2100,3,53,2,32000
664,2011000456800,2100,3,70,2,0
665,2011000457744,2100,71,35,2,0
666,2011000457744,2100,88,34,2,0
667,2011000457744,2100,99,30,2,0
668,2011000457744,2100,67,25,2,0
669,2011000458887,2100,21,30,1,30000
670,2011000458887,2100,15,25,2,32000
671,2011000459112,2100,15,35,1,35000
672,2011000459112,2100,17,43,2,33000
673,2011000460006,2100,17,53,2,800
674,2011000461045,2100,25,63,1,0
675,2011000462163,2100,11,59,1,45000
676,2011000462163,2100,11,63,2,0
677,2011000466380,2100,29,53,2,28000
678,2011000466380,2100,32,51,1,63000
679,2011000466913,2100,23,27,2,3600
680,2011000466913,2100,17,37,1,2500
681,2011000466913,2100,23,6,2,0
682,2011000466913,2100,24,5,1,0
683,2011000466913,2100,24,1,2,0
684,2011000467313,2100,20,34,1,16200
685,2011000467313,2100,20,32,2,40700
686,2011000467313,2100,20,6,2,0
687,2011000467976,2100,17,46,2,48900
688,2011000467976,2100,17,51,1,86000
689,2011000467976,2100,15,15,2,0
690,2011000467976,2100,16,12,2,0
691,2011000467976,2100,17,10,1,0
692,2011000468217,2100,14,50,2,40000
693,2011000468217,2100,20,20,1,21000
694,2011000468392,2100,18,54,2,0
695,2011000468392,2100,48,18,1,0
696,2011000470426,2100,75,40,2,0
697,2011000470426,2100,86,18,1,0
698,2011000470426,2100,59,15,2,0
699,2011000471393,2100,13,20,2,2000
700,2011000471429,2100,20,19,2,4400
701,2011000471723,2100,22,38,2,4800
702,2011000471723,2100,22,46,1,52000
703,2011000471723,2100,20,15,2,0
704,2011000471723,2100,22,8,1,0
705,2011000472777,2100,14,23,1,7000
